Date,Open,Close,Volume,variacao_percentual_diaria
2024-01-02,24.30189014688293,24.036571502685547,21468310,-1.0917613510462405
2024-01-03,24.029395963014032,23.7712459564209,20995509,-1.0743091794337125
2024-01-04,23.771244365185712,23.613487243652344,30121031,-0.6636468798596523
2024-01-05,23.59914391761665,24.165637969970703,31414011,2.4004856037644955
2024-01-08,24.03656632237004,23.907489776611328,13381523,-0.5370007680280996
2024-01-09,23.807100845683856,23.893150329589844,21458906,0.36144461462886895
2024-01-10,23.81427379660583,23.871641159057617,11422452,0.24089486390286288
2024-01-11,23.814271987785578,23.914663314819336,23114559,0.4215595046753874
2024-01-12,23.850124845249663,23.94334602355957,27608377,0.39086243327767883
2024-01-15,23.92900273437711,23.98637008666992,11169567,0.2397398375921112
2024-01-16,23.807104098021465,23.64934539794922,40226258,-0.6626538844149361
2024-01-17,23.591975295876736,23.66368293762207,30594852,0.30394929142650806
2024-01-18,23.80710740871554,23.56329917907715,25613957,-1.0240984990437665
2024-01-19,23.627828660978096,23.62065696716309,36066109,-0.030352741751725313
2024-01-22,23.62782593823311,23.23343086242676,41153165,-1.6691974828211391
2024-01-23,23.362518866647747,23.341005325317383,24343524,-0.09208570982077136
2024-01-24,23.45572545171209,23.23343086242676,26632184,-0.9477199489862882
2024-01-25,23.36251156430716,23.18324089050293,17399934,-0.7673433282666225
2024-01-26,23.21909156895268,23.527437210083008,16393377,1.3279832254188182
2024-01-29,23.455723119991347,23.4055290222168,9956124,-0.21399509841487885
2024-01-30,23.35534053758478,23.25494766235352,23823364,-0.42984975992836827
2024-01-31,23.290803189888983,23.50592613220215,27023862,0.9236390027397364
2024-02-01,23.51858835644497,23.45401763916016,26301462,-0.2745518408936068
2024-02-02,23.49706315171977,23.48988914489746,25338865,-0.030531504196879423
2024-02-05,23.590339843108527,23.934724807739254,21139400,1.4598558855917994
2024-02-06,24.078214337699254,24.96070098876953,76215210,3.6650834596507753
2024-02-07,24.7526363407618,24.781333923339844,53422083,0.11593747907484737
2024-02-08,24.70240650306501,24.29344940185547,55241227,-1.6555354684119494
2024-02-09,24.307808405718223,24.601970672607425,30560069,1.210155444618376
2024-02-14,24.537398392048008,24.601970672607425,14313415,0.26315862638617754
2024-02-15,24.66653778285433,24.81003189086914,32298657,0.5817359099117368
2024-02-16,24.881779338528997,24.781333923339844,25879532,-0.40369064375398184
2024-02-19,24.81003271764828,25.05397224426269,32035461,0.9832293628572634
2024-02-20,25.032453254673023,25.599252700805664,62343778,2.264258482243774
2024-02-21,25.577720395256467,25.455751419067383,32185244,-0.47685631989199445
2024-02-22,25.71147994469169,25.311359405517575,24314973,-1.5561941204272145
2024-02-23,25.340999135875677,25.38545608520508,25725331,0.17543487173110806
2024-02-26,25.407681451429145,25.459548950195312,15356342,0.20414101485537206
2024-02-27,25.65220124778324,25.770755767822266,17802262,0.4621611958126656
2024-02-28,25.71147448548449,25.785572052001957,15121697,0.2881887095168267
2024-02-29,25.6892494482664,25.148345947265625,48078175,-2.1055636603555015
2024-03-01,25.29487404392893,25.2578067779541,16520612,-0.1465406228568539
