Date,Open,Close,Volume,variacao_percentual_diaria
2024-01-02,62.75509531028782,62.3103141784668,18021800,-0.708757001518104
2024-01-03,62.03535548912577,61.98683547973633,25315100,-0.07821347843802898
2024-01-04,61.80891822525831,61.15387344360352,18707000,-1.0597900763568164
2024-01-05,60.676738024164734,60.36943435668945,21082500,-0.5064604286290021
2024-01-08,59.79525993820677,60.06212615966797,23013300,0.4462999604600482
2024-01-09,59.924656145559645,59.30195999145508,15257400,-1.0391317934174045
2024-01-10,58.86525006197476,58.41238021850586,21354600,-0.7693330835970476
2024-01-11,58.59029349601999,58.719688415527344,20289100,0.2208470239462871
2024-01-12,58.3881175360628,57.975685119628906,16343400,-0.7063636127319225
2024-01-15,57.59559252807674,57.86246490478516,12745700,0.46335555377492665
2024-01-16,57.902892825801,57.11037063598633,22620300,-1.3687091458434495
2024-01-17,56.827322829815536,56.08332061767578,43086400,-1.309233261556006
2024-01-18,56.770714854352526,55.80027770996094,30490600,-1.7093974364798525
2024-01-19,56.20463344567552,55.072452545166016,60583000,-2.0143906847178545
2024-01-22,54.58723303590699,54.8298454284668,23318900,0.44444896556712815
2024-01-23,55.75984213328831,55.96201705932617,33886800,0.36258159690370684
2024-01-24,56.85159545602939,56.528114318847656,36922100,-0.5689921884987845
2024-01-25,56.60898312525199,55.137149810791016,47637000,-2.5999995640346016
2024-01-26,54.91071718514281,56.20463562011719,27397200,2.3564041799193167
2024-01-29,56.19654690113622,55.93776321411133,15866100,-0.4604974883602015
2024-01-30,56.12376392541713,55.62236785888672,34371300,-0.8933756958936617
2024-01-31,55.07245174914792,54.7974967956543,34753400,-0.49926041924923104
2024-02-01,54.88645730907878,54.54679870605469,21060300,-0.6188386346588052
2024-02-02,54.393146871484966,53.43888092041016,32589900,-1.7543863629171017
2024-02-05,53.29330909290606,52.9779167175293,24103300,-0.5918048264312833
2024-02-06,53.4307894052871,53.91600799560547,27505600,0.9081254380088845
2024-02-07,54.03731614692228,54.02114486694336,19863400,-0.02992613462695265
2024-02-08,54.5791448639721,53.54401016235352,25812100,-1.8965755220211786
2024-02-09,53.455056417024885,53.30949020385742,18534800,-0.2723151427094959
2024-02-14,53.36609708167884,53.14775085449219,12497900,-0.40914782816600415
2024-02-15,52.96982799332024,52.9779167175293,17360200,0.015270436993074121
2024-02-16,53.7704463882846,54.99158477783203,40947100,2.271021484049821
2024-02-19,54.21523111046493,54.57914352416992,12571600,0.6712364888079401
