Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2024-01-02,62.31031799316406,63.22414648639044,61.938310679928776,62.75509915221502,18021800
2024-01-03,61.98683166503906,62.18900658490554,61.33986945351078,62.03535167144256,25315100
2024-01-04,61.15388107299805,61.9787521539206,60.943617397511964,61.808925936374486,18707000
2024-01-05,60.36943054199219,60.69291163830357,59.940820711582326,60.6767341900492,21082500
2024-01-08,60.06211853027344,60.29664216228598,59.44751125660799,59.79525234271093,23013300
2024-01-09,59.30195617675781,59.97317847299113,59.156389969982996,59.924652290806414,15257400
2024-01-10,58.41238021850586,58.86525006197476,58.18593912688253,58.86525006197476,21354600
2024-01-11,58.719688415527344,58.96230080465897,58.10507488764609,58.59029349601999,20289100
2024-01-12,57.97569274902344,58.792475134466656,57.93525528959395,58.388125219731975,16343400
2024-01-15,57.86246871948242,57.983768744265966,57.17506900629913,57.595596325179926,12745700
2024-01-16,57.11038589477539,58.05656324291889,56.81925345382505,57.9029082963367,22620300
2024-01-17,56.08332061767578,56.980977740759826,55.8002769684801,56.827322829815536,43086400
2024-01-18,55.80028533935547,56.932466275871064,55.80028533935547,56.77072261643185,30490600
2024-01-19,55.072452545166016,56.212722170862676,55.032021259009326,56.20463344567552,60583000
2024-01-22,54.82984924316406,54.97541545484959,54.271844403387895,54.58723683372489,23318900
2024-01-23,55.96201705932617,56.42297564389695,55.35549228121257,55.75984213328831,33886800
2024-01-24,56.528114318847656,57.28020534059215,56.40680812116832,56.85159545602939,36922100
2024-01-25,55.13715362548828,56.94055692742796,54.47402002408018,56.60898704177894,47637000
2024-01-26,56.20463180541992,56.45532674989965,54.587232329004955,54.910713458265825,27397200
2024-01-29,55.93775939941406,56.19654306879111,55.17758584118176,56.19654306879111,15866100
2024-01-30,55.62236785888672,56.28550140758077,54.90262557444645,56.12376392541713,34371300
2024-01-31,54.7974967956543,55.46063034395656,54.79749679565429,55.07245174914792,34753400
2024-02-01,54.546791076660156,55.209924569028196,54.30418487402146,54.88644963217661,21060300
2024-02-02,53.438880920410156,54.40122942665845,53.301403443787464,54.393146871484966,32589900
2024-02-05,52.97792053222656,53.53591914505501,52.84852561511958,53.29331293031328,24103300
2024-02-06,53.91600799560547,54.11010036764412,53.196265749823915,53.4307894052871,27505600
2024-02-07,54.021148681640625,54.23140618566067,53.7785362755993,54.03731996276148,19863400
2024-02-08,53.544010162353516,54.5791448639721,53.349923948272405,54.5791448639721,25812100
