Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2024-01-02,24.03656768798828,24.30188629007856,23.83578348836538,24.30188629007856,21468310
2024-01-03,23.771244049072266,24.215834830514485,23.771244049072266,24.029394034952052,20995509
2024-01-04,23.61349105834961,23.82861556765254,23.448562216229643,23.77124820536823,30121031
2024-01-05,24.165645599365234,24.165645599365234,23.57763938016091,23.59915136816192,31414011
2024-01-08,23.907489776611328,24.144127786055236,23.871637505014313,24.036566322370042,13381523
2024-01-09,23.893146514892578,23.9791959850602,23.51309326782365,23.807097044724955,21458906
2024-01-10,23.87163734436035,24.050906449295873,23.799928152754774,23.81426999107589,11422452
2024-01-11,23.914661407470703,24.079590224390813,23.756904284556157,23.8142700884438,23114559
2024-01-12,23.94335174560547,24.007889261453915,23.6350060087331,23.850130545017315,27608377
2024-01-15,23.98637580871582,24.072423758419436,23.792763272987553,23.929008442737796,11169567
2024-01-16,23.64933967590332,24.072416906219864,23.62782769460079,23.807098337805265,40226258
2024-01-17,23.66368293762207,23.778416094193425,23.54177963672873,23.591975295876736,30594852
2024-01-18,23.563295364379883,23.807103554547805,23.477245870682854,23.807103554547805,25613957
2024-01-19,23.62066078186035,23.692369983434723,23.45573194268667,23.62783247683358,36066109
2024-01-22,23.233434677124023,23.785586944132092,22.925089019135335,23.627829817686106,41153165
2024-01-23,23.34099578857422,23.391191448449256,23.068505506290133,23.362509321114512,24343524
2024-01-24,23.233434677124023,23.7138793002595,23.168897177786125,23.45572930290791,26632184
2024-01-25,23.183242797851562,23.42705099626934,23.125876983322964,23.36251348640488,17399934
2024-01-26,23.527441024780273,23.599148676358904,23.197583348108044,23.219095333655318,16393377
2024-01-29,23.405536651611328,23.577635627491237,23.26928995027227,23.455730765747422,9956124
2024-01-30,23.25494956970215,23.477245772928118,23.18324191685847,23.35534245316754,23823364
2024-01-31,23.505922317504883,23.900317413670273,23.283627716744498,23.290799410103293,27023862
2024-02-01,23.454017639160156,23.719480717485073,23.131156300404854,23.518588356444972,26301462
2024-02-02,23.489892959594727,23.597512382203323,23.095285309097086,23.497066967582075,25338865
2024-02-05,23.934720993041992,23.941895000332657,23.532939373575026,23.59033608329906,21139400
2024-02-06,24.9606990814209,25.018095788654378,23.877321696768576,24.078212497785017,76215210
2024-02-07,24.781333923339844,25.018099445256897,24.465649661716565,24.7526363407618,53422083
2024-02-08,24.293453216552734,24.996571030336497,24.293453216552734,24.702410381979075,55241227
2024-02-09,24.60196876525879,24.688064615840954,24.20736110375189,24.30780652117549,30560069
2024-02-14,24.60196876525879,24.709588190869887,24.479998222339823,24.537396489705557,14313415
2024-02-15,24.810026168823242,24.845900850402753,24.494340444371716,24.666532093903104,32298657
2024-02-16,24.781333923339844,24.96070272963441,24.594792659483762,24.881779338528993,25879532
2024-02-19,25.053970336914062,25.06831990214794,24.788507256252977,24.810030828870666,32035461
2024-02-20,25.5992488861084,25.792964161959635,25.032449524437926,25.032449524437926,62343778
2024-02-21,25.45574951171875,25.706863002978622,25.45574951171875,25.577718478768944,32185244
2024-02-22,25.31135368347168,25.733704202463798,25.31135368347168,25.711474132192013,24314973
2024-02-23,25.385459899902344,25.47437541316696,25.096484882103493,25.341002943892352,25725331
2024-02-26,25.459550857543945,25.51882731718433,25.311357306576667,25.407683354892033,15356342
2024-02-27,25.770755767822266,25.822623270261577,25.4891897835072,25.652201247783236,17802262
2024-02-28,25.78557586669922,25.852262885808553,25.533647305757768,25.711478289219826,15121697
2024-02-29,25.148347854614258,25.748529462268735,25.00015429178493,25.689251396639268,48078175
2024-03-01,25.257802963256836,25.406073606840238,25.13918676880556,25.294870223633385,16520612
2024-03-04,25.065052032470703,25.354178903829126,25.065052032470703,25.265217159275117,17674233
2024-03-05,25.042816162109375,25.23556690771528,24.909372722044726,25.146605148364667,20542423
2024-03-06,25.317115783691406,25.42090476965579,25.02798886505421,25.176257929530493,36605983
2024-03-07,25.05023193359375,25.45797511436617,24.835239521196016,25.242982701968433,18729056
2024-03-08,25.28005027770996,25.398664896718618,24.946441655255715,24.96868329813771,19630131
2024-03-11,25.40607452392578,25.40607452392578,25.198496576662382,25.213323801763664,22865412
2024-03-12,25.509859085083008,25.658128106294992,25.302281173724637,25.546926340386005,24434504
2024-03-13,25.76192283630371,25.88795184516023,25.354179757781058,25.435728693901037,30214957
2024-03-14,25.74709701538086,25.895366068690905,25.61365358573995,25.798991504454843,32383745
2024-03-15,25.606237411499023,25.873124252433414,25.50245004256337,25.85088421638129,42577460
2024-03-18,25.71002960205078,25.91019475781726,25.48762440744717,25.702616789797545,14672010
2024-03-19,25.74709701538086,25.836058767782355,25.680375300560403,25.769337052961898,11934228
2024-03-20,25.79899024963379,25.94725929573227,25.621066753484712,25.74709576308387,19759180
2024-03-21,25.5321044921875,25.89536591352876,25.406075477213648,25.798991349870164,38034356
